scorer_rank,scorer,team,goals,penalties,own_goals,first_goal_date,latest_goal_date,scorer_label
12363,Rahmatullo Fuzailov,Tajikistan,1,0,0,2000-11-26,2000-11-26,12363. Rahmatullo Fuzailov
12364,Rustam Usmonov,Tajikistan,1,0,0,2000-11-26,2000-11-26,12364. Rustam Usmonov
12365,Shukhrat Jabbarov,Tajikistan,1,0,0,2000-11-26,2000-11-26,12365. Shukhrat Jabbarov
12366,Claudio Husaín,Argentina,1,0,0,2000-11-15,2000-11-15,12366. Claudio Husaín
12367,Juan Carlos Padilla,El Salvador,1,0,0,2000-11-15,2000-11-15,12367. Juan Carlos Padilla
12368,Pedro Alejandro García,Peru,1,0,0,2000-11-15,2000-11-15,12368. Pedro Alejandro García
12369,Roque Júnior,Brazil,1,0,0,2000-11-15,2000-11-15,12369. Roque Júnior
12370,Luis Santamaría,Honduras,1,0,0,2000-11-14,2000-11-14,12370. Luis Santamaría
12371,Renán Bengoche,Honduras,1,0,0,2000-11-14,2000-11-14,12371. Renán Bengoche
12372,Shigeyoshi Mochizuki,Japan,1,0,0,2000-10-29,2000-10-29,12372. Shigeyoshi Mochizuki
12373,Fan Zhiyi,Japan,1,0,1,2000-10-26,2000-10-26,12373. Fan Zhiyi
12374,Abbas Obeid,Iraq,1,0,0,2000-10-24,2000-10-24,12374. Abbas Obeid
12375,Kim Sang-sik,South Korea,1,0,0,2000-10-23,2000-10-23,12375. Kim Sang-sik
12376,Luís Fernandes,Lebanon,1,0,0,2000-10-18,2000-10-18,12376. Luís Fernandes
12377,Hideaki Kitajima,Japan,1,0,0,2000-10-17,2000-10-17,12377. Hideaki Kitajima
12378,Sergey Lushan,Uzbekistan,1,0,0,2000-10-17,2000-10-17,12378. Sergey Lushan
12379,Abbas Chahrour,Lebanon,1,0,0,2000-10-15,2000-10-15,12379. Abbas Chahrour
12380,Mohammed Gholam,Qatar,1,0,0,2000-10-14,2000-10-14,12380. Mohammed Gholam
12381,Ryuzo Morioka,Saudi Arabia,1,0,1,2000-10-14,2000-10-14,12381. Ryuzo Morioka
12382,Bruno Akrapović,Bosnia and Herzegovina,1,0,0,2000-10-11,2000-10-11,12382. Bruno Akrapović
