elo_rank,elo_label,team,elo_rating,matches_played,wins,draws,losses,goals_for,goals_against,goal_difference,last_match_date
76,76. United Arab Emirates,United Arab Emirates,1653.8,612,246,152,214,867,760,107,2025-12-15
77,77. Padania,Padania,1652.9,44,30,8,6,120,33,87,2019-06-08
78,78. Northern Cyprus,Northern Cyprus,1651.7,34,20,7,7,98,31,67,2018-06-09
79,79. South Africa,South Africa,1645.3,477,213,144,120,648,454,194,2026-03-31
80,80. Andalusia,Andalusia,1644.9,13,8,4,1,25,14,11,2013-06-07
81,81. Israel,Israel,1643.8,497,180,116,201,749,737,12,2026-03-26
82,82. Jamaica,Jamaica,1643.7,660,257,154,249,880,870,10,2026-03-31
83,83. Bosnia and Herzegovina,Bosnia and Herzegovina,1641.4,281,104,65,112,387,387,0,2026-03-31
84,84. Isle of Wight,Isle of Wight,1639.4,48,26,7,15,113,60,53,2023-07-13
85,85. Honduras,Honduras,1637.8,619,247,161,211,909,796,113,2026-03-31
86,86. Burkina Faso,Burkina Faso,1634.0,462,164,122,176,578,612,-34,2026-03-31
87,87. Northern Ireland,Northern Ireland,1633.8,705,184,160,361,739,1293,-554,2026-03-31
88,88. Cape Verde,Cape Verde,1629.0,233,88,56,89,255,262,-7,2026-03-30
89,89. Kernow,Kernow,1621.3,12,7,2,3,32,19,13,2023-07-16
90,90. North Macedonia,North Macedonia,1620.6,304,95,79,130,365,408,-43,2026-03-31
91,91. Iraqi Kurdistan,Iraqi Kurdistan,1616.8,27,13,8,6,61,27,34,2016-06-04
92,92. Iceland,Iceland,1616.7,520,159,102,259,632,872,-240,2026-03-31
93,93. Oman,Oman,1608.6,542,206,137,199,701,680,21,2025-12-08
94,94. Haiti,Haiti,1606.7,508,215,110,183,833,684,149,2026-03-31
95,95. Abkhazia,Abkhazia,1606.7,32,14,13,5,51,26,25,2019-06-08
96,96. Finland,Finland,1598.5,816,216,166,434,959,1669,-710,2026-03-30
97,97. Guatemala,Guatemala,1597.6,552,199,140,213,773,755,18,2026-03-27
98,98. Qatar,Qatar,1594.9,633,260,154,219,895,766,129,2025-12-07
99,99. Corsica,Corsica,1584.2,9,4,4,1,10,5,5,2017-05-26
100,100. Rhodes,Rhodes,1582.9,18,11,2,5,29,19,10,2011-06-27
101,101. Ghana,Ghana,1582.6,669,311,174,184,1051,697,354,2026-03-30
102,102. County of Nice,County of Nice,1581.7,9,6,1,2,19,13,6,2015-06-21
103,103. Kárpátalja,Kárpátalja,1581.0,11,5,5,1,25,13,12,2018-06-09
104,104. Yorkshire,Yorkshire,1570.2,7,5,1,1,27,11,16,2019-06-01
105,105. Angola,Angola,1564.6,413,140,147,126,466,427,39,2025-12-29
106,106. Ellan Vannin,Ellan Vannin,1563.1,22,11,5,6,54,32,22,2018-06-03
107,107. Bulgaria,Bulgaria,1560.4,734,262,187,285,1014,1102,-88,2026-03-30
108,108. Artsakh,Artsakh,1560.4,11,6,2,3,32,14,18,2019-06-08
109,109. Belarus,Belarus,1558.6,313,93,79,141,357,461,-104,2026-03-29
110,110. Réunion,Réunion,1557.9,124,53,22,49,219,220,-1,2023-09-02
111,111. Galicia,Galicia,1554.3,10,4,3,3,19,20,-1,2016-05-20
112,112. Thailand,Thailand,1552.2,863,339,204,320,1388,1279,109,2025-11-18
113,113. Syria,Syria,1550.9,483,173,120,190,691,634,57,2025-12-11
114,114. China PR,China PR,1549.3,700,338,153,209,1283,767,516,2026-03-31
115,115. Panjab,Panjab,1545.9,19,9,3,7,54,30,24,2019-12-29
116,116. Suriname,Suriname,1543.8,399,173,93,133,750,565,185,2026-03-26
117,117. New Caledonia,New Caledonia,1541.8,265,136,34,95,698,369,329,2026-03-26
118,118. Arameans Suryoye,Arameans Suryoye,1540.9,10,5,2,3,16,12,4,2014-06-08
119,119. Cascadia,Cascadia,1537.9,7,4,1,2,23,14,9,2019-05-25
120,120. Palestine,Palestine,1535.9,241,69,68,104,322,342,-20,2025-12-11
121,121. Montenegro,Montenegro,1535.9,168,57,40,71,198,231,-33,2026-03-31
122,122. Libya,Libya,1533.7,384,143,92,149,500,466,34,2026-03-31
123,123. Guinea,Guinea,1533.2,538,200,153,185,730,659,71,2026-03-31
124,124. Menorca,Menorca,1533.1,25,11,6,8,56,32,24,2023-07-13
125,125. Malaysia,Malaysia,1532.4,835,327,192,316,1363,1211,152,2025-11-18
126,126. Curaçao,Curaçao,1532.0,383,142,100,141,630,604,26,2026-03-31
127,127. Maule Sur,Maule Sur,1531.3,2,2,0,0,2,0,2,2022-06-19
128,128. Bahrain,Bahrain,1531.0,583,207,154,222,725,754,-29,2025-12-09
129,129. Canary Islands,Canary Islands,1529.2,4,3,0,1,11,3,8,2007-12-29
130,130. Vietnam,Vietnam,1526.9,297,128,59,110,489,406,83,2026-03-26
131,131. Brittany,Brittany,1526.6,12,6,3,3,18,15,3,2013-05-28
132,132. Silesia,Silesia,1526.0,8,3,2,3,24,17,7,2006-12-09
133,133. Chameria,Chameria,1524.8,7,3,2,2,14,8,6,2023-07-01
134,134. Benin,Benin,1524.6,323,84,78,161,350,555,-205,2026-03-31
135,135. Zanzibar,Zanzibar,1523.9,209,44,41,124,191,436,-245,2025-01-13
136,136. Asturias,Asturias,1520.0,1,1,0,0,3,1,2,1923-02-25
137,137. Parishes of Jersey,Parishes of Jersey,1517.8,3,2,0,1,11,4,7,2019-06-02
138,138. Gabon,Gabon,1517.6,405,141,114,150,477,484,-7,2026-03-30
139,139. Biafra,Biafra,1517.5,3,2,0,1,2,1,1,2022-05-25
140,140. Zambia,Zambia,1516.3,793,358,203,232,1234,851,383,2026-03-31
141,141. Surrey,Surrey,1515.8,1,1,0,0,3,1,2,2018-05-06
142,142. Elba Island,Elba Island,1512.5,1,1,0,0,5,0,5,2022-07-16
143,143. Donetsk PR,Donetsk PR,1509.9,6,2,2,2,8,7,1,2017-08-31
144,144. Trinidad and Tobago,Trinidad and Tobago,1508.4,751,321,164,266,1268,999,269,2026-03-30
145,145. Felvidék,Felvidék,1506.0,12,5,2,5,14,20,-6,2017-06-09
146,146. Gambia,Gambia,1503.0,265,73,75,117,278,367,-89,2026-03-31
147,147. Tahiti,Tahiti,1502.5,242,131,31,80,657,371,286,2025-03-21
148,148. Mapuche,Mapuche,1502.4,2,1,0,1,3,2,1,2022-06-18
149,149. Crimea,Crimea,1502.0,5,3,0,2,7,11,-4,2006-11-25
150,150. Tamil Eelam,Tamil Eelam,1500.6,24,12,0,12,58,60,-2,2023-08-08
151,151. United Koreans in Japan,United Koreans in Japan,1499.2,12,3,6,3,20,11,9,2018-06-09
152,152. Central Spain,Central Spain,1498.8,2,1,0,1,2,4,-2,1923-11-25
153,153. Kazakhstan,Kazakhstan,1498.7,267,71,59,137,307,440,-133,2026-03-31
154,154. Saugeais,Saugeais,1497.1,1,0,1,0,1,1,0,2013-06-29
155,155. Délvidék,Délvidék,1496.7,2,1,0,1,4,3,1,2016-08-03
156,156. Franconia,Franconia,1495.9,3,2,0,1,8,11,-3,2019-06-25
157,157. Guadeloupe,Guadeloupe,1495.8,271,115,47,109,463,390,73,2025-06-24
158,158. Sealand,Sealand,1495.4,12,4,5,3,27,30,-3,2014-08-10
159,159. Matabeleland,Matabeleland,1494.4,8,3,2,3,7,14,-7,2022-05-25
160,160. West Papua,West Papua,1493.4,1,0,1,0,1,1,0,2022-11-13
161,161. Uganda,Uganda,1492.0,685,285,182,218,1030,809,221,2025-12-30
162,162. Madagascar,Madagascar,1490.0,319,118,73,128,434,480,-46,2026-03-31
163,163. Madrid,Madrid,1489.6,1,0,0,1,1,2,-1,2013-06-07
164,164. Western Sahara,Western Sahara,1489.4,5,2,0,3,11,16,-5,2012-06-09
165,165. Kuwait,Kuwait,1489.2,683,285,178,220,1065,768,297,2025-12-09
166,166. Western Armenia,Western Armenia,1489.2,16,5,4,7,34,20,14,2019-06-09
167,167. Shetland,Shetland,1484.1,58,21,9,28,101,113,-12,2025-07-17
168,168. Cilento,Cilento,1483.8,1,0,0,1,0,2,-2,2011-12-29
169,169. South Ossetia,South Ossetia,1483.6,16,5,3,8,35,34,1,2019-12-08
170,170. Yoruba Nation,Yoruba Nation,1482.5,2,0,1,1,1,2,-1,2022-05-23
171,171. Seborga,Seborga,1482.5,1,0,0,1,2,3,-1,2014-08-10
172,172. Republic of St. Pauli,Republic of St. Pauli,1482.4,4,1,1,2,10,5,5,2006-06-03
173,173. North Korea,North Korea,1481.4,390,162,106,122,628,435,193,2025-06-10
174,174. Indonesia,Indonesia,1481.2,723,279,142,302,1205,1173,32,2026-03-30
175,175. Luhansk PR,Luhansk PR,1481.1,6,2,1,3,9,12,-3,2019-12-08
176,176. Székely Land,Székely Land,1480.8,27,9,3,15,56,56,0,2023-07-02
177,177. Åland Islands,Åland Islands,1478.9,51,21,8,22,77,86,-9,2023-07-13
178,178. Ryūkyū,Ryūkyū,1478.5,1,0,0,1,0,9,-9,2016-11-26
179,179. Togo,Togo,1478.2,445,140,113,192,486,618,-132,2026-03-31
180,180. Gozo,Gozo,1478.2,14,4,2,8,31,28,3,2025-07-17
181,181. Mozambique,Mozambique,1477.3,374,118,95,161,387,484,-97,2026-01-05
182,182. Somaliland,Somaliland,1475.5,6,2,1,3,14,20,-6,2019-05-04
183,183. Kenya,Kenya,1475.1,705,268,175,262,977,957,20,2026-03-30
184,184. Luxembourg,Luxembourg,1473.3,465,49,63,353,295,1203,-908,2025-11-17
