date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1974-02-17,Tahiti,New Caledonia,1,2,Friendly,Papeete,Tahiti,False
1974-02-17,Tahiti,New Caledonia,2,1,Friendly,Papeete,Tahiti,False
