team,matches_played,wins,draws,losses,goals_scored,goals_conceded,total_goal_differential,points,dominant_wins,win_rate,draw_rate,loss_rate,avg_goal_diff,goals_scored_per_match,goals_conceded_per_match,points_per_match,dominant_win_rate
Libya,384,143,92,149,500,466,34,521,30,0.3723958333333333,0.23958333333333334,0.3880208333333333,0.08854166666666667,1.3020833333333333,1.2135416666666667,1.3567708333333333,0.078125
Slovenia,315,114,85,116,390,369,21,427,26,0.3619047619047619,0.2698412698412698,0.3682539682539683,0.06666666666666667,1.2380952380952381,1.1714285714285715,1.3555555555555556,0.08253968253968254
Indonesia,723,279,142,302,1205,1173,32,979,110,0.38589211618257263,0.19640387275242047,0.41770401106500693,0.04426002766251729,1.6666666666666667,1.6224066390041494,1.3540802213001384,0.15214384508990317
Norway,870,327,195,348,1347,1414,-67,1176,100,0.3758620689655172,0.22413793103448276,0.4,-0.07701149425287357,1.5482758620689656,1.625287356321839,1.3517241379310345,0.11494252873563218
Chile,833,315,179,339,1174,1184,-10,1124,85,0.37815126050420167,0.2148859543817527,0.4069627851140456,-0.012004801920768308,1.4093637454981993,1.4213685474189677,1.3493397358943577,0.10204081632653061
Dominican Republic,158,62,26,70,264,250,14,212,25,0.3924050632911392,0.16455696202531644,0.4430379746835443,0.08860759493670886,1.6708860759493671,1.5822784810126582,1.3417721518987342,0.15822784810126583
Bosnia and Herzegovina,281,104,65,112,387,387,0,377,30,0.3701067615658363,0.2313167259786477,0.398576512455516,0.0,1.3772241992882561,1.3772241992882561,1.3416370106761566,0.10676156583629894
Madagascar,319,118,73,128,434,480,-46,427,30,0.36990595611285265,0.22884012539184953,0.4012539184952978,-0.14420062695924765,1.3605015673981191,1.5047021943573669,1.3385579937304075,0.09404388714733543
Guatemala,552,199,140,213,773,755,18,737,55,0.3605072463768116,0.2536231884057971,0.3858695652173913,0.03260869565217391,1.4003623188405796,1.3677536231884058,1.335144927536232,0.09963768115942029
Saint Vincent and the Grenadines,236,88,51,97,372,442,-70,315,23,0.3728813559322034,0.21610169491525424,0.4110169491525424,-0.2966101694915254,1.576271186440678,1.8728813559322033,1.3347457627118644,0.09745762711864407
