team,main,main_rank,equal_weight,equal_weight_rank,performance_heavy,performance_heavy_rank,max_rank_shift
North Macedonia,38.85428741163111,100,36.0141728869841,100,43.116099719642186,98,2
Hong Kong,38.740068462880735,101,36.10705503879747,99,42.381476171573865,103,4
El Salvador,38.450434951249854,102,35.62451882512607,102,42.12577612575761,104,2
Congo,38.23461765761458,103,34.761404193232394,106,42.77374977819956,101,5
Peru,38.17031022938831,104,34.968111460348986,103,42.52072220964494,102,2
Guyana,37.54050009748578,105,34.93879833087464,104,40.60739671715,107,3
Sudan,37.218919220066695,106,34.03176528947862,108,41.47505825152605,105,3
Wales,36.939477376392624,107,34.03194481522059,107,40.634886643303616,106,1
Barbados,36.835568560704374,108,34.79158870981583,105,39.61665837669002,110,5
Mozambique,35.66090535635009,109,32.13900385856779,113,40.34401122426888,108,5
Togo,35.5966174259621,110,32.24552567652782,112,40.06134741207914,109,3
Singapore,35.12763936801397,111,32.62717971541328,109,38.15665489079027,113,4
Lebanon,34.807990662962226,112,32.25807863260176,111,39.05416544326673,111,1
Iceland,34.72076766737412,113,32.34604973330766,110,37.70026268552694,114,4
Mauritius,33.840259765366255,114,31.536733329912575,114,37.360478180352715,115,1
Belarus,33.81023561917226,115,30.67490194350001,115,38.177830875487665,112,3
Tanzania,31.27289230066231,116,28.323776458961785,117,35.83189149526262,116,1
Latvia,31.22037311265473,117,28.592932719762103,116,34.9599794494272,117,1
Albania,30.096931294650254,118,27.43880624882365,118,33.6364720602529,118,0
Botswana,28.683238130957157,119,25.299268966415312,119,33.49223827766593,119,0
Northern Ireland,27.244964943652256,120,25.27637402155345,120,29.96703828155402,122,2
Benin,27.16255854801396,121,24.500756627698163,122,30.90529440309161,120,2
Philippines,26.216947311910022,122,25.243406590133716,121,26.91983604046117,128,7
Finland,25.98877796472142,123,23.90350325549119,123,28.511362476195263,123,0
Liberia,25.864290721002924,124,22.591587982869587,126,30.236618528687092,121,5
Venezuela,25.592537324919412,125,23.511661110008816,124,28.41794252264989,124,1
Bangladesh,25.202866300751825,126,23.207598280280045,125,27.685214636075923,126,1
Estonia,24.586988349081313,127,22.36870729232808,127,27.696150023377896,125,2
Lithuania,24.2375284812759,128,21.66626974933936,128,27.32462702657912,127,1
Bolivia,21.504041483985706,129,19.65169485468216,129,24.242374935580116,129,0
Azerbaijan,19.091350735340193,130,17.283083212500465,130,22.323754161651095,130,0
Cyprus,13.835099083024616,131,12.414414155576889,131,15.55989059803275,131,0
Malta,6.65837615576302,132,5.957115013887683,132,7.758292470736766,132,0
Luxembourg,0.0,133,0.0,133,0.0,133,0
